CDF	Lazy Caching	Eager Caching	ReCache
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0.620804595	0
7	0	0.9598568877	0
8	0	1.0323878743	0
9	0	1.2132248939	0
10	0	1.2141839407	0
11	0	1.7718597755	0
12	0	1.8422497854	0.3019885914
13	0	2.5932248606	0.8359413383
14	0	2.8803525171	0.8598164162
15	0	2.9549171184	1.096215985
16	0	3.3895095155	1.6422545449
17	0	4.0262536624	2.0781478271
18	0	4.0859874821	2.2648348849
19	0	4.4007121941	2.3349864737
20	0	4.8665549071	2.48633909
21	0	4.9491012608	2.7197428739
22	0	5.0533926529	3.0746791601
23	0	5.2084970714	3.2168815603
24	0	6.0602180796	3.3094040178
25	0	6.2293842995	3.6569889755
26	0	6.5728191022	3.743835687
27	0	6.9495133481	3.8806078586
28	0	7.2121602587	4.0739240454
29	0	7.2659407959	4.1898198944
30	0	7.3384211861	4.223622616
31	0	7.3509135841	4.3705414718
32	0	7.9371116779	4.3832280178
33	0	8.1358651626	4.4419092908
34	0.0305923171	8.5713893686	4.5954135185
35	0.041474547	9.988113081	4.6048175139
36	0.0440188174	10.0522964982	4.7735602442
37	0.0488357529	10.7490663305	4.8104539533
38	0.0643464829	10.8025707711	4.8823480755
39	0.0653831565	10.8547878682	4.9391593834
40	0.1074704235	11.8884619022	5.1908371047
41	0.1525239027	12.4757082998	5.2104691105
42	0.1794995169	12.7010367576	5.255768535
43	0.1860589869	13.0577583066	5.2780693727
44	0.2330529353	13.2038835826	5.3100166249
45	0.2637713772	14.4686338011	5.352063272
46	0.2780149675	14.885416615	5.6572410116
47	0.2807784603	15.0470580679	5.6797771757
48	0.2823659098	15.4976097477	5.9898014608
49	0.3650414516	15.6918827972	6.0329193174
50	0.3882448607	16.2031002921	6.0961506757
51	0.4645798167	17.1466458379	6.3140645773
52	0.4995419143	18.3573792173	6.347778016
53	0.5006440621	19.336632983	6.3670858085
54	0.7145480246	20.381455909	6.4142414868
55	0.7889514314	20.4385636544	6.4950675966
56	0.8237044078	21.1509595601	6.6681556642
57	0.8415730027	22.3765518879	6.7046391023
58	0.8588877144	22.4470443863	6.7116570918
59	0.860399105	23.4286933872	6.7315968859
60	0.8652325672	23.9364884753	6.8328946789
61	0.8950239151	24.3981487058	6.9172255416
62	0.9347566497	24.5517393711	7.0876626784
63	1.012618863	25.1989745397	7.4064309205
64	1.0520001774	25.2953690968	7.5645917876
65	1.059511792	26.0355087967	7.6433181056
66	1.2336526987	26.6143693435	7.7225245894
67	1.376177807	26.6460688298	7.7865710861
68	1.3924331521	27.5095875716	7.9014871889
69	1.5251496707	29.767576621	8.0757669558
70	1.5458470926	29.8765842446	8.0791992506
71	1.583067638	30.4540272818	8.3682366094
72	1.7788620365	31.1471338046	8.4329399683
73	1.7908056025	32.8759846124	8.4441272511
74	1.7962130963	33.3835864551	8.8065106427
75	1.8124775916	33.4265350395	8.8688594471
76	1.8139724456	33.7485046781	9.2477331632
77	1.9646737616	34.2851300805	9.2710095866
78	2.1421303852	34.4291996926	9.8676276176
79	2.3648500708	34.5388301532	10.5279316302
80	2.3807751102	34.6671320077	10.8706213466
81	2.3882121013	35.8036354374	11.5347978913
82	2.4735245715	35.9817717259	11.7475514594
83	2.5514976595	36.8034670061	14.5160414763
84	2.5533463769	37.1343350789	15.7296429517
85	2.6706803307	37.777969987	16.6264379265
86	2.7043428816	38.9391921342	17.2475133913
87	2.7786244662	39.1145678464	17.3159025428
88	3.0845180976	39.4285154863	17.4394313575
89	3.2763877533	40.8240819539	17.4517767689
90	3.4932678118	40.8583006108	19.0193105235
91	3.6009268467	41.3002196386	19.110966405
92	4.0872405146	43.0801411935	21.3943415353
93	13.5872919446	44.1891347134	26.422098921
94	15.5804788649	44.2265515765	27.7071450721
95	17.7252258646	44.9592907736	28.215707554
96	19.0142738674	46.1037663679	29.4170642405
97	19.7823790108	46.2273797231	29.7836678597
98	20.4490604753	47.2305034324	30.4921457839
99	31.8169879592	48.5457372626	31.2096986719
100	36.7322593339	51.1628854516	32.0572846153
