Query Sequence	ReCache	Eager Caching	Lazy Caching	No Caching
1	69.548344	77.755491	70.0039557912	68.885447
2	103.051641	88.264506	94.8526626325	122.949333
3	168.296201	149.903293	144.6270910182	183.710085
4	269.48912	251.52205	213.8608927786	257.747863
5	330.486318	309.818936	271.9458705741	312.287178
6	379.937543	356.848244	325.0793586717	360.671675
7	427.428535	409.531445	378.976355071	414.012257
8	429.339825	411.351571	384.5963895779	468.344495
9	528.166848	510.740713	440.6683604721	544.205
10	576.7527	557.788792	487.7466644329	592.8721
11	576.768612	557.795516	488.3383296659	597.377028
12	588.747025	569.616369	538.3164686937	674.727634
13	589.023493	569.707889	542.7073191638	682.08067
14	592.279848	573.286518	552.174324865	736.921114
15	596.923259	576.098662	569.2045225045	795.920822
16	597.632637	576.708546	577.689859772	847.854988
17	598.879912	577.617526	613.3221072214	898.664732
18	690.550658	669.097084	681.330409782	958.499466
19	695.216344	673.47575	720.6252045409	1015.730699
20	716.137739	694.024364	767.2166640328	1088.579109
21	725.782568	703.508141	814.6955356071	1144.59699
22	726.456355	704.206638	815.3730527105	1145.190304
23	731.596043	709.089174	856.0062624525	1206.592343
24	733.213423	710.629758	864.9219393879	1216.174191
25	826.665859	802.513821	930.0563211642	1283.51973
26	826.985531	802.773691	932.7448084617	1286.995067
27	827.15565	802.817367	937.2622365473	1293.649215
28	828.783589	804.359397	938.4543537708	1294.720784
29	929.098542	904.338274	1002.361929886	1359.650273
30	933.218055	908.087919	1040.3083746749	1413.242119
31	936.007356	910.810732	1043.8289993999	1417.997342
32	936.06807	910.837216	1048.6982436487	1461.464748
33	936.091751	910.845058	1049.5726765353	1462.538571
34	937.69942	912.339968	1057.7509225845	1512.616528
35	937.764495	912.366685	1062.3318617724	1560.520627
36	958.611551	932.848596	1124.4466628326	1634.394446
37	970.701803	945.178107	1175.8218654731	1698.872369
38	976.157589	946.70926	1185.2835242048	1753.276959
39	976.27751	946.818825	1186.3946632327	1759.18196
40	976.300967	946.826391	1187.2692494499	1760.251208
41	981.153224	951.105245	1239.8317187438	1817.829118
42	981.234664	951.123838	1241.3145208042	1819.874183
43	981.257133	951.130974	1242.1904582917	1820.898143
44	996.948569	966.261276	1315.4757589518	1934.694777
45	996.96561	966.268397	1316.0390426085	1939.307459
46	997.893858	967.136427	1319.5329562913	1944.340465
47	1001.010072	969.749968	1373.8310713143	1999.930669
48	1018.019965	985.817714	1440.7673663733	2079.113257
49	1025.05763	992.269996	1498.6521482297	2156.605691
50	1025.773389	992.872194	1507.3757571514	2209.639638
51	1025.926756	992.914465	1511.9378786757	2216.761577
52	1028.213073	994.599758	1549.0411224245	2268.899417
53	1034.383935	1000.38829	1591.4847395479	2331.287149
54	1066.173316	1031.279948	1684.9571629326	2437.51713
55	1162.888203	1125.407738	1777.3519377876	2502.083511
56	1164.748858	1126.766162	1823.5129630926	2561.575884
57	1165.525458	1127.125085	1870.497495199	2612.570879
58	1170.384254	1131.702363	1919.8868206641	2675.691679
59	1178.025755	1138.866195	1971.4838143629	2755.102852
60	1181.37185	1141.616624	2020.5691166233	2810.417758
61	1182.778844	1142.641499	2057.8781238248	2861.031159
62	1182.856869	1142.658159	2059.0138216643	2862.93155
63	1182.880305	1142.665759	2059.9126187237	2863.998182
64	1186.079289	1145.230809	2115.9253437688	2921.912225
65	1197.211117	1156.030234	2167.6166491298	2991.394697
66	1197.553809	1156.304742	2170.6135362072	2994.974967
67	1197.572816	1156.31212	2171.0528838768	2999.740223
68	1198.300208	1156.981069	2174.218004801	3004.012093
69	1200.704614	1158.891175	2219.7067542509	3061.593007
70	1200.785665	1158.909533	2220.9946338268	3063.615019
71	1200.808095	1158.916564	2222.0302571514	3064.638244
72	1201.270088	1159.313578	2224.9700436087	3068.446383
73	1201.276358	1159.317983	2225.0487757552	3069.036722
74	1215.694027	1173.134404	2294.2190482096	3162.96007
75	1220.802714	1177.846	2343.8453808762	3220.44561
76	1222.345882	1179.291343	2352.330445089	3270.305991
77	1223.212559	1180.040881	2361.5334664933	3323.343488
78	1232.992341	1188.986379	2421.3047693539	3387.528819
79	1233.924783	1189.580654	2456.6027412483	3437.937369
80	1239.222294	1194.33953	2505.2421817364	3510.044617
81	1239.240894	1194.347563	2505.886024905	3514.6158
82	1239.322268	1194.366563	2507.1171910382	3516.661316
83	1257.685607	1211.849434	2589.3682958592	3598.212896
84	1257.703273	1211.856747	2590.2886208242	3602.946238
85	1272.608179	1225.876404	2674.7035042008	3657.354809
86	1272.629538	1225.887177	2675.3624080816	3661.952579
87	1273.102245	1226.317456	2681.4739506901	3710.7186
88	1279.622417	1232.386335	2737.3238063613	3772.090643
89	1285.01408	1237.633675	2741.8893935787	3776.797633
90	1287.117157	1239.339574	2780.6093110622	3831.129766
91	1292.415181	1244.315476	2831.4506856371	3889.641557
92	1311.709842	1265.206587	2888.2178605721	3955.770278
93	1311.790037	1265.224363	2889.3389807962	3957.753148
94	1311.867826	1265.240991	2890.4590858172	3959.652923
95	1316.398412	1269.388911	2940.9365815163	4025.317012
96	1316.552425	1269.431405	2945.265230146	4032.247207
97	1317.501854	1270.260819	2954.2953281656	4085.050661
98	1323.21605	1275.73416	2995.3683819764	4150.709044
99	1324.103939	1276.511919	3001.5455396079	4197.151968
100	1333.835531	1285.543366	3061.4437645529	4294.478304
