Query Sequence	ReCache	Parquet/Greedy	Columnar/Greedy	Columnar/LRU
1	58.5143	58.3704	58.5361	59.4962
2	77.4689	77.0814	79.9694	81.754
3	90.2579	89.8839	92.0599	94.1009
4	90.2963	89.9221	92.4381	94.4783
5	90.3167	89.9425	92.4473	94.4867
6	99.0557	98.6743	101.409	102.858
7	113.678	113.865	116.19	117.992
8	130.673	131.095	135.483	137.906
9	147.972	148.269	155.152	158.383
10	147.992	148.289	155.162	158.392
11	148.023	148.321	155.454	158.684
12	148.877	149.173	155.685	158.915
13	178.433	177.211	185.971	190.038
14	197.128	195.856	206.998	212.096
15	197.983	196.712	207.228	212.327
16	198.817	197.546	207.513	212.623
17	199.651	198.38	207.797	212.919
18	200.508	199.235	208.028	213.151
19	201.183	199.91	208.22	213.343
20	214.381	213.207	221.783	227.164
21	215.217	214.044	222.069	227.461
22	238.975	237.774	245.862	250.702
23	239.811	238.608	246.147	250.998
24	242.199	239.442	246.433	251.294
25	242.22	239.464	246.443	251.302
26	243.072	240.316	246.673	251.533
27	257.546	254.919	261.378	266.547
28	257.779	255.774	261.61	266.779
29	258.614	256.61	261.894	267.074
30	258.847	257.46	262.126	267.306
31	258.868	257.481	262.136	267.314
32	259.157	258.315	262.42	267.61
33	260.08	259.237	262.79	267.987
34	260.102	259.259	262.801	267.997
35	262.498	260.094	263.084	268.291
36	262.52	260.115	263.094	268.299
37	262.75	260.967	263.324	268.53
38	271.443	269.397	271.384	276.416
39	271.463	269.417	271.394	276.424
40	271.752	270.253	271.678	276.718
41	271.774	270.275	271.689	276.727
42	281.617	279.543	281.33	285.938
43	300.481	298.474	303.05	308.311
44	300.508	298.502	303.291	308.545
45	300.797	299.338	303.576	308.84
46	300.817	299.358	303.586	308.848
47	301.211	300.324	303.971	309.243
48	301.443	301.178	304.203	309.474
49	302.122	301.855	304.397	309.668
50	303.09	302.824	304.793	310.074
51	303.323	303.678	305.025	310.305
52	312.896	313.221	314.908	319.515
53	313.186	314.057	315.193	319.81
54	313.207	314.079	315.203	319.818
55	313.233	314.098	315.212	319.826
56	313.242	314.118	315.221	319.833
57	313.656	314.532	315.634	320.251
58	314.492	315.367	315.92	320.547
59	314.505	315.38	315.931	320.557
60	314.901	316.348	316.325	320.961
61	315.19	317.184	316.609	321.256
62	324.139	326.107	325.581	329.72
63	337.229	339.077	338.383	341.959
64	338.086	339.933	338.616	342.191
65	338.096	339.954	338.626	342.199
66	338.327	340.806	338.857	342.43
67	339.179	341.658	339.09	342.662
68	339.411	342.508	339.322	342.893
69	363.203	366.285	362.918	366.381
70	363.411	367.01	363.128	366.59
71	363.433	367.032	363.139	366.599
72	363.453	367.053	363.148	366.607
73	363.685	367.905	363.379	366.837
74	363.925	367.934	363.619	367.07
75	364.604	368.61	363.813	367.264
76	387.617	391.655	386.601	390.176
77	387.85	392.506	386.833	390.407
78	388.14	393.344	387.119	390.702
79	388.223	393.422	387.185	390.763
80	388.452	394.151	387.427	391.006
81	389.244	394.943	387.651	391.23
82	389.265	394.964	387.661	391.238
83	389.659	395.003	388.041	391.615
84	389.891	395.856	388.273	391.847
85	389.922	395.877	388.284	391.855
86	390.612	396.566	388.476	392.048
87	390.832	397.284	388.701	392.272
88	391.228	398.253	389.089	392.671
89	391.238	398.274	389.1	392.68
90	393.804	399.242	389.488	393.078
91	393.826	399.264	389.499	393.086
92	394.116	400.099	389.784	393.382
93	394.142	400.125	389.81	393.406
94	394.153	400.139	389.821	393.415
95	394.202	400.202	389.87	393.462
96	394.435	401.057	390.102	393.694
97	394.726	401.892	390.388	393.989
98	394.958	402.743	390.62	394.22
99	395.269	403.562	390.951	394.549
100	395.283	403.576	390.962	394.558
101	395.338	403.644	391.018	394.611
102	395.627	404.481	392.022	394.906
103	395.861	405.337	392.255	395.138
104	395.893	405.358	392.266	395.146
105	414.766	424.629	414.888	417.196
106	417.065	425.318	415.082	417.389
107	417.075	425.339	415.093	417.398
108	417.303	426.063	415.333	417.639
109	418.22	426.98	415.707	418.021
110	418.242	427.002	415.718	418.029
111	418.252	427.024	415.727	418.037
112	418.483	427.876	415.958	418.268
113	418.494	427.898	415.969	418.277
114	418.687	428.575	416.163	418.469
115	418.757	428.658	416.231	418.536
116	419.047	429.494	416.516	418.83
117	419.069	429.516	416.526	418.838
118	419.1	429.537	416.536	418.846
119	419.496	430.504	416.923	419.243
120	419.729	431.354	417.155	419.474
121	420.808	433.08	418.278	420.612
122	421.001	433.757	418.472	420.805
123	421.195	434.446	418.667	421
124	421.428	435.297	418.898	421.231
125	422.345	436.214	419.269	421.611
126	422.455	436.341	419.379	421.721
127	423.29	437.176	419.665	422.017
128	442.169	456.065	440.951	444.915
129	451.728	465.621	450.428	454.534
130	451.922	466.298	450.622	454.727
131	452.127	467.017	450.831	454.934
132	452.138	467.038	450.841	454.942
133	452.467	467.366	451.17	455.272
134	452.707	467.394	451.41	455.504
135	481.893	496.608	482.809	487.516
136	482.728	497.443	483.097	487.814
137	483.852	499.223	484.286	489.016
138	484.06	499.947	484.496	489.224
139	484.07	499.969	484.507	489.233
140	484.927	500.825	484.738	489.463
141	484.938	500.847	484.748	489.472
142	485.789	501.697	484.981	489.703
143	486.185	502.665	485.368	490.097
144	495.46	511.935	494.568	498.737
145	495.842	512.858	494.938	499.115
146	495.853	512.881	494.949	499.123
147	496.085	513.73	495.18	499.354
148	497.001	514.646	495.552	499.734
149	499.414	515.503	495.785	499.966
150	500.491	517.254	496.948	501.138
151	500.724	518.105	497.18	501.369
152	501.172	519.121	497.787	501.827
153	501.406	519.977	498.019	502.06
154	501.787	520.899	498.388	502.437
155	502.078	521.736	498.674	502.733
156	502.089	521.756	498.685	502.74
157	502.357	522.534	498.955	503.012
158	502.551	523.211	499.149	503.207
159	502.932	524.133	499.518	503.582
160	503.329	525.102	499.918	503.982
161	503.62	525.937	500.204	504.278
162	503.91	526.774	500.488	504.572
163	504.2	527.614	500.774	504.866
164	504.491	528.45	501.059	505.16
165	504.725	529.309	501.292	505.392
166	504.971	530.058	501.529	505.629
167	505.263	530.894	501.814	505.923
168	505.643	531.817	502.184	506.301
169	505.654	531.839	502.195	506.309
170	505.943	532.677	502.48	506.604
171	505.954	532.7	502.491	506.613
172	505.964	532.72	502.501	506.62
173	505.974	532.74	502.511	506.628
174	506.167	533.429	502.704	506.822
175	506.362	534.119	502.899	507.015
176	506.584	534.909	503.119	507.236
177	506.595	534.932	503.13	507.245
178	506.606	534.945	503.141	507.253
179	506.846	534.973	503.38	507.489
180	506.857	534.994	503.391	507.498
181	507.089	535.847	503.624	507.729
182	507.1	535.87	503.635	507.738
183	507.111	535.883	503.646	507.746
184	507.35	535.911	503.885	507.978
185	507.583	536.764	504.117	508.209
186	507.875	537.6	504.398	508.499
187	508.164	538.437	504.702	508.794
188	508.466	538.472	505.026	509.085
189	508.7	539.329	505.259	509.318
190	508.943	540.07	505.492	509.55
191	509.165	540.862	505.717	509.774
192	509.177	540.885	505.728	509.782
193	517.289	548.995	513.737	517.508
194	517.511	549.785	513.957	517.728
195	517.746	550.642	514.185	517.955
196	517.784	550.681	514.224	517.991
197	517.946	550.842	514.385	518.141
198	517.958	550.865	514.397	518.15
199	518.191	551.723	514.629	518.381
200	518.575	552.65	515.001	518.761
201	527.85	561.898	524.125	527.625
202	527.862	561.921	524.136	527.634
203	528.153	562.756	524.422	527.93
204	528.388	563.609	524.656	528.162
205	528.399	563.623	524.668	528.171
206	528.409	563.644	524.678	528.179
207	528.643	564.5	524.911	528.411
208	529.013	565.427	525.283	528.784
209	529.024	565.449	525.294	528.792
210	529.218	566.126	525.488	528.985
211	529.229	566.148	525.499	528.993
212	529.462	567.003	525.731	529.224
213	529.473	567.026	525.742	529.232
214	529.483	567.047	525.752	529.24
215	539.253	576.832	535.57	538.6
216	539.302	576.895	535.618	538.645
217	539.312	576.917	535.629	538.653
218	539.694	577.833	535.987	539.018
219	539.986	578.669	536.275	539.314
220	549.414	588.083	545.345	548.076
221	549.796	589.006	545.716	548.454
222	550.087	589.844	546.001	548.749
223	550.322	590.579	546.231	548.977
224	558.87	599.121	554.839	557.058
225	558.882	599.143	554.851	557.067
226	559.096	599.904	555.066	557.281
227	559.331	600.762	555.299	557.513
228	559.635	600.798	555.602	557.803
