Query Sequence	ReCache	Parquet/Greedy	Columnar/Greedy	Columnar/LRU
1	52.1645	51.6826	50.696	52.7474
2	64.0884	63.2292	62.0503	64.5021
3	119.562	118.147	117.197	119.851
4	192.816	190.834	190.634	193.927
5	204.09	202.458	201.889	208.714
6	208.124	206.106	205.388	212.463
7	210.712	208.699	207.947	215.081
8	224.375	222.682	221.469	228.599
9	274.142	272.588	272.671	278.636
10	276.438	274.885	275.358	280.892
11	287.586	286.099	286.763	292.322
12	293.599	292.019	292.638	298.361
13	366.48	364.729	366.475	371.664
14	377.764	376.137	377.217	382.445
15	385.697	383.917	385.198	390.411
16	385.839	384.061	385.8	390.944
17	386.072	384.302	385.865	390.956
18	398.035	393.891	427.436	420.308
19	410.311	403.723	429.143	421.128
20	420.907	414.344	439.673	431.809
21	421.472	414.585	439.739	431.821
22	421.701	414.822	440.308	432.295
23	421.719	414.839	440.399	432.379
24	485.929	480.015	505.019	496.955
25	485.947	480.032	505.033	496.963
26	485.961	480.047	507.141	499.028
27	489.664	483.783	510.848	502.713
28	498.518	493.495	542.66	535.218
29	500.466	495.541	546.744	539.2
30	500.486	495.561	547.172	539.342
31	509.458	504.549	556.182	548.382
32	583.257	577.952	630.18	621.592
33	585.206	579.998	630.511	621.631
34	585.272	580.247	630.577	621.643
35	585.322	580.297	630.667	621.721
36	586.135	581.128	630.75	621.733
37	586.178	581.171	671.19	648.304
38	586.412	581.413	671.675	648.752
39	595.681	591.673	672.632	648.857
40	604.784	601.77	673.588	648.962
41	633.575	611.894	674.548	649.069
42	633.623	611.942	674.563	649.075
43	638.052	616.419	679.438	653.455
44	649.026	626.877	689.61	663.651
45	659.809	637.511	699.789	673.899
46	660.772	647.642	700.748	674.005
47	660.856	647.888	700.83	674.029
48	661.808	657.923	701.779	674.132
49	667.82	663.935	707.863	680.558
50	732.266	726.068	770.892	743.435
51	732.977	726.802	772.723	745.355
52	737.458	728.987	773.204	745.546
53	737.541	729.234	773.286	745.57
54	737.607	729.466	773.351	745.582
55	737.624	729.482	773.465	745.687
56	737.858	729.726	774.03	746.199
57	738.576	730.464	774.106	746.212
58	738.641	730.696	774.171	746.224
59	739.464	731.545	774.258	746.237
60	739.531	731.788	774.326	746.249
61	748.033	744.485	803.474	773.197
62	750.232	745.333	803.56	773.211
63	750.277	745.377	836.367	800.128
64	770.192	765.398	856.401	820.151
65	770.416	765.631	856.466	820.162
66	770.489	765.754	856.538	820.176
67	770.538	765.803	883.967	918.072
68	847.074	830.463	949.762	983.292
69	856.242	843.758	979.315	984.045
70	856.261	843.776	981.422	986.049
71	856.336	843.921	981.497	986.064
72	858.675	846.279	983.833	988.416
73	858.719	846.324	984.868	1061.33
74	863.223	850.737	989.252	1065.93
75	874	861.434	999.291	1076.89
76	874.234	861.677	999.875	1077.76
77	875.206	862.685	1000.04	1077.79
78	875.229	862.708	1000.22	1077.83
79	875.808	862.953	1000.29	1077.84
80	881.567	868.273	1005.46	1083.28
81	881.657	868.366	1005.65	1083.44
82	890.878	881.753	1035.57	1084.23
83	895.596	886.475	1040.38	1090.05
84	895.684	886.566	1040.41	1090.06
85	910.536	895.949	1041.37	1123.7
86	910.773	896.199	1041.44	1123.71
87	919.776	909.488	1071.71	1123.81
88	920.74	919.749	1110.07	1162.38
89	923.13	922.154	1112.46	1164.74
90	924.071	923.097	1114.78	1167.03
91	924.668	923.325	1114.84	1167.04
92	925.634	933.459	1149.79	1203.49
93	939.496	943.914	1179.15	1265.9
94	939.565	944.165	1179.22	1276.23
95	939.634	944.417	1179.28	1286.86
96	939.709	944.541	1179.36	1286.87
97	939.784	944.664	1179.43	1298.54
98	940.749	954.799	1246.74	1366.89
99	941.711	955.814	1246.91	1377.65
100	941.734	955.837	1247.09	1377.67
101	1004.36	1018.24	1309.86	1440.29
102	1034.72	1048.89	1339.84	1469.86
103	1035.69	1059.01	1372.43	1508.66
104	1036.63	1059.96	1376.86	1508.67
105	1083.48	1107.13	1423.74	1555.22
106	1083.93	1109.27	1433.23	1567.75
107	1084.39	1109.3	1437.38	1571.63
108	1090.16	1115.16	1443.23	1577.43
109	1090.61	1117.31	1443.68	1577.58
110	1090.68	1117.56	1443.75	1587.73
111	1090.75	1117.81	1443.82	1598.15
112	1091.76	1117.86	1507.93	1598.29
113	1095.81	1121.81	1511.85	1602.39
114	1104.92	1131.22	1545.51	1629.78
115	1105.4	1131.25	1545.98	1629.96
116	1106.36	1141.49	1576.57	1630.06
117	1120.05	1156.18	1606.89	1661.81
118	1120.12	1156.43	1606.95	1672.54
119	1120.21	1156.51	1607.11	1677.19
120	1129.32	1165.95	1658.28	1728.66
121	1135.04	1171.75	1663.87	1734.23
122	1148.67	1186.38	1664.8	1734.34
123	1158.06	1196.04	1739.45	1810.12
124	1159.03	1197.05	1739.65	1812.34
125	1172.45	1211.65	1740.59	1812.45
126	1172.91	1211.69	1751.19	1823.22
127	1175.14	1212.73	1751.36	1832.17
128	1175.19	1212.78	1782.97	1860.02
129	1175.26	1213.03	1783.04	1860.58
130	1175.46	1213.05	1783.24	1861.06
131	1175.53	1213.29	1783.31	1871.42
132	1188.82	1227.78	1784.23	1871.53
133	1188.89	1228.03	1784.3	1881.87
134	1203.89	1237.64	1858.46	1956.12
135	1203.96	1237.88	1858.53	1966.48
136	1204.05	1238.13	1858.61	1976.81
137	1204.25	1238.23	1858.64	1979.53
138	1204.43	1238.24	1858.81	1999.51
139	1293.99	1327.24	1948.51	2089.96
140	1299.54	1332.85	1954.11	2095.6
141	1300.45	1342.61	1983.2	2124.92
142	1305.24	1347.41	1988.05	2130.77
143	1305.73	1349.6	1992.29	2134.68
144	1305.9	1349.62	1992.46	2136.63
145	1306.24	1349.64	2009.12	2153.47
146	1321.24	1359.26	2049.33	2184.5
147	1321.28	1359.31	2078.95	2224.42
148	1330.39	1368.72	2079.91	2276.01
149	1330.46	1368.96	2079.98	2286.55
150	1337.33	1375.64	2086.6	2293.32
151	1338.29	1385.89	2125.33	2332.63
152	1338.36	1385.99	2125.4	2333.15
153	1353.35	1395.61	2199.93	2333.25
154	1353.43	1395.85	2200	2333.27
155	1353.89	1395.88	2204.13	2337.47
156	1355.61	1406.33	2238.92	2375.07
157	1370.93	1417.68	2295.45	2433.68
158	1371.02	1418.54	2301.72	2440.13
159	1382.36	1429.39	2311.71	2450.59
160	1382.38	1429.41	2318.07	2457.08
161	1393.49	1440.61	2328.48	2467.91
162	1397.95	1444.98	2332.84	2472.44
163	1398.19	1445.22	2333.46	2472.95
164	1398.67	1445.74	2334.67	2474.1
165	1398.92	1445.99	2334.75	2474.12
166	1399.01	1446.24	2334.83	2474.15
167	1401.33	1448.61	2337.15	2476.52
168	1401.78	1448.64	2347.91	2487.12
169	1402.74	1458.77	2415.3	2487.23
170	1404.54	1458.84	2445.31	2488.03
171	1404.62	1459.08	2445.38	2488.05
172	1404.65	1459.18	2445.41	2490.81
173	1405.67	1459.22	2511.11	2490.95
174	1405.7	1459.32	2511.14	2496.39
175	1417.08	1470.83	2521.87	2507.21
176	1417.33	1471.08	2522.51	2507.72
177	1417.57	1471.33	2522.58	2507.73
178	1417.61	1471.44	2522.61	2507.95
179	1417.64	1471.54	2522.65	2507.96
180	1417.88	1471.79	2523.28	2508.48
181	1417.96	1471.91	2523.36	2520.25
182	1417.99	1472.01	2523.39	2520.26
183	1418.22	1472.03	2523.61	2533.02
184	1418.26	1472.13	2523.65	2533.04
185	1418.91	1472.38	2523.74	2533.06
186	1418.95	1472.48	2523.77	2533.07
187	1419.4	1472.51	2528.17	2536.92
188	1419.43	1472.6	2528.2	2536.93
189	1419.5	1472.84	2528.26	2537.46
190	1421.82	1475.19	2530.59	2539.78
191	1437.17	1486.58	2563.73	2570.95
192	1439.39	1488.82	2565.94	2573.17
193	1439.41	1488.84	2565.95	2578.78
194	1449.47	1498.54	2568.07	2580.85
195	1449.64	1498.56	2568.24	2582.82
196	1464.49	1507.95	2599.59	2632.42
197	1470.8	1514.13	2605.74	2638.71
198	1485.87	1523.59	2606.7	2663.19
199	1485.91	1523.63	2606.78	2663.26
200	1500.9	1533.25	2607.75	2663.37
201	1500.98	1533.5	2607.82	2663.38
202	1501.15	1534.52	2607.99	2663.41
203	1501.33	1535.54	2608.16	2663.43
204	1501.4	1535.8	2608.23	2663.44
205	1501.76	1536.18	2616.07	2674.14
206	1501.78	1536.2	2621.45	2679.5
207	1501.81	1536.29	2621.48	2679.51
208	1576.3	1609.37	2697.86	2753.58
209	1576.53	1610.42	2698.08	2753.67
210	1577.12	1611.02	2699.58	2758.46
211	1577.36	1611.26	2699.65	2758.47
212	1579.74	1611.28	2706.03	2764.61
213	1579.91	1612.31	2706.2	2764.64
214	1579.99	1612.56	2706.27	2764.65
215	1580.06	1612.81	2706.34	2774.96
216	1581.95	1613.54	2711.34	2780.08
217	1581.97	1613.56	2714.03	2782.77
218	1582.02	1613.61	2745.26	2813.01
219	1591.17	1622.97	2746.22	2813.12
220	1603.72	1634.49	2757.44	2824.73
221	1603.74	1634.51	2757.46	2824.74
222	1604.07	1634.53	2761.61	2828.62
223	1604.17	1635.47	2764.02	2830.9
