%diff	CDF
0	0
0	0.0834028357
0	0.1668056714
0	0.2502085071
0	0.3336113428
0	0.4170141785
0	0.5004170142
0	0.5838198499
0	0.6672226856
0	0.7506255213
0	0.834028357
0	0.9174311927
0.0066782423	1.0008340284
0.0071312199	1.0842368641
0.014740566	1.1676396997
0.0151961304	1.2510425354
0.0198890004	1.3344453711
0.0261378116	1.4178482068
0.0328863229	1.5012510425
0.0340692287	1.5846538782
0.0433188653	1.6680567139
0.0452888545	1.7514595496
0.0461046477	1.8348623853
0.0566011037	1.918265221
0.0630851042	2.0016680567
0.0706772643	2.0850708924
0.0707936758	2.1684737281
0.0736160188	2.2518765638
0.0765623505	2.3352793995
0.0835693569	2.4186822352
0.0856790149	2.5020850709
0.0916825583	2.5854879066
0.0996086802	2.6688907423
0.1040573392	2.752293578
0.1051093393	2.8356964137
0.1099271114	2.9190992494
0.1127368086	3.0025020851
0.1168705731	3.0859049208
0.117420826	3.1693077565
0.1185643755	3.2527105922
0.1196520979	3.3361134279
0.1352491831	3.4195162636
0.1400084502	3.5029190992
0.1477290586	3.5863219349
0.1498863257	3.6697247706
0.1645021497	3.7531276063
0.1651951468	3.836530442
0.1693748819	3.9199332777
0.1697188849	4.0033361134
0.1773819939	4.0867389491
0.1789170311	4.1701417848
0.1844255231	4.2535446205
0.1944576027	4.3369474562
0.1951532098	4.4203502919
0.2047967606	4.5037531276
0.2081772004	4.5871559633
0.2149122807	4.670558799
0.218641115	4.7539616347
0.2293765872	4.8373644704
0.2383975538	4.9207673061
0.2397066277	5.0041701418
0.2415413534	5.0875729775
0.2424897871	5.1709758132
0.2455618107	5.2543786489
0.2517684497	5.3377814846
0.2524204391	5.4211843203
0.2556123583	5.504587156
0.2619047619	5.5879899917
0.2640242511	5.6713928274
0.2712949354	5.7547956631
0.2758741297	5.8381984987
0.2819585576	5.9216013344
0.2830151074	6.0050041701
0.2842607136	6.0884070058
0.2941451624	6.1718098415
0.2953065435	6.2552126772
0.2954841564	6.3386155129
0.2967404129	6.4220183486
0.303061248	6.5054211843
0.3040042383	6.58882402
0.3087204104	6.6722268557
0.309768138	6.7556296914
0.3153487386	6.8390325271
0.3169964029	6.9224353628
0.3393371089	7.0058381985
0.3395921728	7.0892410342
0.3424983028	7.1726438699
0.343862455	7.2560467056
0.3483453595	7.3394495413
0.3558390332	7.422852377
0.3595144701	7.5062552127
0.3638583639	7.5896580484
0.3677017206	7.6730608841
0.3733624093	7.7564637198
0.374759365	7.8398665555
0.3870422169	7.9232693912
0.3947598865	8.0066722269
0.3966916833	8.0900750626
0.3988519029	8.1734778982
0.3991073282	8.2568807339
0.4016074281	8.3402835696
0.4025367638	8.4236864053
0.4134393971	8.507089241
0.4140760744	8.5904920767
0.4262787007	8.6738949124
0.4280960883	8.7572977481
0.4281222285	8.8407005838
0.4286207293	8.9241034195
0.4333670432	9.0075062552
0.4390385438	9.0909090909
0.4458222616	9.1743119266
0.4489910603	9.2577147623
0.4498146207	9.341117598
0.4498568883	9.4245204337
0.4610408973	9.5079232694
0.4625997565	9.5913261051
0.4686914136	9.6747289408
0.4934898375	9.7581317765
0.4937623112	9.8415346122
0.5005660352	9.9249374479
0.5025363865	10.0083402836
0.5036757401	10.0917431193
0.5043709244	10.175145955
0.5056272334	10.2585487907
0.5076142132	10.3419516264
0.5142857143	10.4253544621
0.531175675	10.5087572977
0.5322807931	10.5921601334
0.5386844393	10.6755629691
0.5452624644	10.7589658048
0.5520628621	10.8423686405
0.5575667958	10.9257714762
0.5643524798	11.0091743119
0.5740717871	11.0925771476
0.5788140889	11.1759799833
0.5860418651	11.259382819
0.5917645081	11.3427856547
0.5952380952	11.4261884904
0.6040601	11.5095913261
0.6072467142	11.5929941618
0.6111602086	11.6763969975
0.6127775514	11.7597998332
0.615624729	11.8432026689
0.6193134032	11.9266055046
0.6367763865	12.0100083403
0.6396143967	12.093411176
0.6418783556	12.1768140117
0.6439049431	12.2602168474
0.6465517241	12.3436196831
0.6494473739	12.4270225188
